spy_return_1d,spy_volatility,vixy_level,market_trend,recent_volatility,timestamp,signal_threshold,top_n_trades,l1_risk_factor,sharpe_ratio,total_return,volatility
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.4,5,0.5,0.5680346515294438,0.03898876867020983,0.06863701101786987
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.4,5,0.7,0.5680370160544044,0.05458427613829376,0.09609181542501781
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,2,0.3,0.6796929813107042,0.02799193648117629,0.04118220661072192
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,2,0.5,0.6796995830266848,0.04665322746862715,0.06863701101786987
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,2,0.7,0.6797024123727916,0.06531451845607801,0.09609181542501781
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,3,0.3,0.6473266488673374,0.026658987124929798,0.04118220661072192
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,3,0.5,0.6473329362158903,0.04443164520821633,0.06863701101786987
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,3,0.7,0.64733563083123,0.06220430329150286,0.09609181542501781
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,4,0.3,0.6149603164239704,0.025326037768683307,0.04118220661072192
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,4,0.5,0.6149662894050958,0.042210062947805514,0.06863701101786987
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,4,0.7,0.6149688492896686,0.059094088126927714,0.09609181542501781
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,5,0.3,0.5825939839806036,0.023993088412436817,0.04118220661072192
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,5,0.5,0.5825996425943012,0.0399884806873947,0.06863701101786987
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.45,5,0.7,0.582602067748107,0.05598387296235257,0.09609181542501781
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,2,0.3,0.6966853058434717,0.02869173489320569,0.04118220661072192
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,2,0.5,0.6966920726023518,0.04781955815534282,0.06863701101786987
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,2,0.7,0.6966949726821112,0.06694738141747994,0.09609181542501781
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,3,0.3,0.6635098150890207,0.02732546180305304,0.04118220661072192
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,3,0.5,0.6635162596212875,0.045542436338421734,0.06863701101786987
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,3,0.7,0.6635190216020107,0.06375941087379042,0.09609181542501781
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,4,0.3,0.6303343243345697,0.02595918871290039,0.04118220661072192
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,4,0.5,0.630340446640223,0.04326531452150065,0.06863701101786987
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,4,0.7,0.6303430705219102,0.0605714403301009,0.09609181542501781
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,5,0.3,0.5971588335801187,0.024592915622747735,0.04118220661072192
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,5,0.5,0.5971646336591587,0.04098819270457956,0.06863701101786987
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.5,5,0.7,0.5971671194418097,0.05738346978641138,0.09609181542501781
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.55,2,0.3,0.7136776303762395,0.029391533305235105,0.04118220661072192
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.55,2,0.5,0.7136845621780191,0.04898588884205851,0.06863701101786987
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.55,2,0.7,0.7136875329914313,0.06858024437888191,0.09609181542501781
0.0017441136165441407,0.13727402203573977,16.0,-1,0.008647450566099238,2024-09-16,0.55,3,0.3,0.6796929813107042,0.02799193648117629,0.04118220661072192
