Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,22.46635663094516,2025-12-11 09:35:00,445.11,0.0,2025-12-11 09:45:00,443.245,0.0,-41.899755116712186,-0.004189975511671219,Long,Closed,0
1,0,22.5342269803428,2025-12-11 09:50:00,441.91,0.0,2025-12-11 10:05:00,444.06,0.0,48.44858800773727,0.004865244054219209,Long,Closed,1
2,0,21.920630973057516,2025-12-12 10:15:00,456.48999999999995,0.0,2025-12-12 10:35:00,449.43,0.0,154.75965466978596,0.015465837148677946,Short,Closed,2
3,0,22.71851116229752,2025-12-12 11:05:00,447.27,0.0,2025-12-12 12:15:00,448.835,0.0,35.55446996899627,0.003499005075234263,Long,Closed,3
4,0,22.71851116229752,2025-12-12 12:15:00,448.835,0.0,2025-12-12 16:00:00,459.0,0.0,-230.93366596475425,-0.022647520803858876,Short,Closed,4
5,0,21.72504368923997,2025-12-12 16:05:00,458.7300000000001,0.0,2025-12-15 08:25:00,465.24,0.0,-141.43003441695146,-0.01419135439147203,Short,Closed,5
6,0,21.117964096874815,2025-12-15 08:30:00,465.22,0.0,2025-12-15 08:45:00,467.73,0.0,-53.006089883156164,-0.0053952968488027555,Short,Closed,6
7,0,20.855640337363553,2025-12-15 08:50:00,468.53,0.0,2025-12-15 08:55:00,470.41,0.0,-39.20860383424406,-0.004012549890081804,Short,Closed,7
8,0,20.539178970603373,2025-12-15 10:15:00,473.84,0.0,2025-12-15 10:35:00,476.195,0.0,-48.36976647577103,-0.004970032078338689,Short,Closed,8
9,0,20.216519064226073,2025-12-15 10:40:00,479.00999999999993,0.0,2025-12-15 12:00:00,475.44,0.0,72.17297305928696,0.007452871547566845,Short,Closed,9
10,0,20.58767571962146,2025-12-15 16:00:00,473.88000000000005,0.0,2025-12-15 16:40:00,473.16,0.0,-14.823126518127538,-0.0015193719929096061,Long,Closed,10
11,0,20.37239552345677,2025-12-16 09:55:00,478.16,0.0,2025-12-16 14:45:00,484.13,0.0,-121.62320127503699,-0.012485360548770292,Short,Closed,11
12,0,19.86995526453856,2025-12-16 14:50:00,484.12999999999994,0.0,2025-12-16 14:55:00,485.305,0.0,-23.34719743583446,-0.0024270340610994634,Short,Closed,12
13,0,19.75989507723794,2025-12-16 15:00:00,485.645,0.0,2025-12-16 16:00:00,490.53,0.0,-96.52708745230666,-0.01005878779767107,Short,Closed,13
14,0,19.613029889612914,2025-12-17 10:40:00,484.36,0.0,2025-12-17 10:55:00,477.69,0.0,-130.81890936371929,-0.01377074902964749,Long,Closed,14
15,0,19.59457114646169,2025-12-17 11:00:00,478.14000000000004,0.0,2025-12-17 12:40:00,473.715,0.0,-86.70597732309398,-0.009254611620027714,Long,Closed,15
16,0,19.81966385310963,2025-12-17 13:45:00,468.335,0.0,2025-12-17 14:25:00,467.24,0.0,-21.702531919154353,-0.0023380699712811665,Long,Closed,16
17,0,19.44143711025328,2025-12-18 08:30:00,476.33,0.0,2025-12-18 08:35:00,478.08,0.0,-34.02251494294251,-0.0036739235404025833,Short,Closed,17
18,0,19.291440449503423,2025-12-18 08:40:00,478.27,0.0,2025-12-18 10:20:00,481.005,0.0,-52.762089629391994,-0.005718527191753627,Short,Closed,18
19,0,18.926861498787094,2025-12-18 10:30:00,484.69499999999994,0.0,2025-12-18 10:55:00,486.5,0.0,-34.162985005312294,-0.003723991376020145,Short,Closed,19
20,0,18.693813072240896,2025-12-18 11:05:00,488.91,0.0,2025-12-18 11:50:00,490.49,0.0,-29.536224654140824,-0.0032316786320590925,Short,Closed,20
21,0,18.87429491059141,2025-12-18 16:10:00,482.6700000000001,0.0,2025-12-19 10:25:00,480.395,0.0,-42.93902092159624,-0.004713365239190422,Long,Closed,21
22,0,19.064986445412142,2025-12-19 11:45:00,475.59,0.0,2025-12-19 12:05:00,477.595,0.0,38.22529782305173,0.004215816144157826,Long,Closed,22
23,0,18.669582746707288,2025-12-22 08:15:00,487.71000000000004,0.0,2025-12-22 09:40:00,493.895,0.0,-115.47136928838336,-0.012681716593877375,Short,Closed,23
24,0,18.20198793692633,2025-12-22 09:45:00,493.8949999999999,0.0,2025-12-22 10:00:00,490.775,0.0,56.79020236321048,0.0063171321839662654,Short,Closed,24
25,0,18.497681383997055,2025-12-22 10:05:00,489.07,0.0,2025-12-24 10:25:00,477.32,0.0,-217.3477562619646,-0.02402519066800245,Long,Closed,25
26,0,18.5431340506342,2025-12-26 15:50:00,476.15,0.0,2025-12-29 09:05:00,468.15,0.0,148.34507240507446,0.016801428121390415,Short,Closed,26
27,0,19.176884226454234,2025-12-29 09:05:00,468.15,0.0,2025-12-29 09:40:00,465.69,0.0,-47.17513519707609,-0.005254726049343012,Long,Closed,27
28,0,19.18244507183356,2025-12-29 09:45:00,465.555,0.0,2025-12-29 10:05:00,461.885,0.0,-70.3995734136297,-0.007883064299599462,Long,Closed,28
29,0,19.446426570687628,2025-12-30 09:35:00,455.615,0.0,2025-12-30 09:45:00,457.465,0.0,35.975889155772165,0.004060445771100606,Long,Closed,29
30,0,19.50505279913968,2026-01-02 08:15:00,456.0899999999999,0.0,2026-01-02 09:05:00,458.3,0.0,-43.10616668610055,-0.004845534872503444,Short,Closed,30
31,0,19.648777886349244,2026-01-02 09:40:00,450.56,0.0,2026-01-02 10:30:00,446.95,0.0,-70.93208816972037,-0.0080122514204545,Long,Closed,31
32,0,19.666158202917433,2026-01-02 10:35:00,446.555,0.0,2026-01-02 11:00:00,441.58,0.0,-97.83913705951454,-0.011140844912720754,Long,Closed,32
33,0,19.574840274195925,2026-01-05 08:20:00,443.64,0.0,2026-01-05 08:40:00,444.29,0.0,-12.723646178228591,-0.0014651519249843643,Short,Closed,33
34,0,19.505271370236525,2026-01-05 08:45:00,444.57,0.0,2026-01-05 09:50:00,452.08,0.0,-146.48458799047694,-0.01689272780439533,Short,Closed,34
35,0,18.84451054980951,2026-01-05 09:55:00,452.385,0.0,2026-01-05 10:30:00,456.27,0.0,-73.21092348601087,-0.008587817898471545,Short,Closed,35
36,0,18.811794385660534,2026-01-06 08:15:00,449.2799999999999,0.0,2026-01-06 08:50:00,448.04,0.0,-23.326625038216662,-0.0027599715099712262,Long,Closed,36
37,0,19.24959770823649,2026-01-06 10:05:00,437.84999999999997,0.0,2026-01-06 10:35:00,436.69,0.0,-22.329533341553542,-0.0026493091241291747,Long,Closed,37
38,0,19.49920395084619,2026-01-07 16:00:00,431.1,0.0,2026-01-07 16:25:00,432.15,0.0,20.47416414838699,0.0024356297842726107,Long,Closed,38
39,0,19.769104955679015,2026-01-08 09:40:00,426.25,0.0,2026-01-08 09:50:00,431.205,0.0,97.95591505538869,0.011624633431084944,Long,Closed,39
40,0,19.678971564738834,2026-01-08 10:10:00,433.18000000000006,0.0,2026-01-08 15:50:00,436.07,0.0,-56.87222782209392,-0.006671591486218046,Short,Open,40
